cue_file_hand,hand_x,cue_file_movement,movement_y,target_x,target_y,is_valid,correct_key,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,gender,age,primary_hand,first_cue,date,expName,psychopyVersion,frameRate
images/hand_left.png,-0.5,images/arrow_up.png,0.25,0.5,0.25,movement,up,0,125,125,217,right,0,0.390723399999843,1,2,f,20,r,h,2021_Apr_18_1234,bd-ai,2021.1.4,59.9826050447582
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,-0.5,-0.25,both,left,0,126,126,106,left,1,0.320545200003835,1,2,f,20,r,h,2021_Apr_18_1234,bd-ai,2021.1.4,59.9826050447582
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,-0.5,0.25,hand,right,0,127,127,290,left,0,0.760160899997572,1,2,f,20,r,h,2021_Apr_18_1234,bd-ai,2021.1.4,59.9826050447582
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,0.25,both,up,0,128,128,117,up,1,0.561446799998521,1,2,f,20,r,h,2021_Apr_18_1234,bd-ai,2021.1.4,59.9826050447582
images/hand_left.png,-0.5,images/arrow_up.png,0.25,-0.5,0.25,both,right,0,129,129,37,right,1,0.378644399999757,1,2,f,20,r,h,2021_Apr_18_1234,bd-ai,2021.1.4,59.9826050447582
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,-0.5,-0.25,both,left,0,130,130,96,left,1,0.378305700003693,1,2,f,20,r,h,2021_Apr_18_1234,bd-ai,2021.1.4,59.9826050447582
images/hand_left.png,-0.5,images/arrow_up.png,0.25,-0.5,0.25,both,right,0,131,131,25,right,1,0.356946499996411,1,2,f,20,r,h,2021_Apr_18_1234,bd-ai,2021.1.4,59.9826050447582
images/hand_left.png,-0.5,images/arrow_up.png,0.25,-0.5,0.25,both,right,0,132,132,49,right,1,0.262487899999542,1,2,f,20,r,h,2021_Apr_18_1234,bd-ai,2021.1.4,59.9826050447582
images/hand_right.png,0.5,images/arrow_down.png,-0.25,-0.5,-0.25,hand,left,0,133,133,13,down,0,0.601044900002307,1,2,f,20,r,h,2021_Apr_18_1234,bd-ai,2021.1.4,59.9826050447582
images/hand_left.png,-0.5,images/arrow_down.png,-0.25,-0.5,-0.25,both,left,0,134,134,81,left,1,0.349242600001162,1,2,f,20,r,h,2021_Apr_18_1234,bd-ai,2021.1.4,59.9826050447582
images/hand_right.png,0.5,images/arrow_up.png,0.25,-0.5,0.25,movement,right,0,135,135,244,up,0,0.447521100002632,1,2,f,20,r,h,2021_Apr_18_1234,bd-ai,2021.1.4,59.9826050447582
images/hand_right.png,0.5,images/arrow_up.png,0.25,0.5,0.25,both,up,0,136,136,145,up,1,0.351384699999471,1,2,f,20,r,h,2021_Apr_18_1234,bd-ai,2021.1.4,59.9826050447582
images/hand_right.png,0.5,images/arrow_down.png,-0.25,0.5,-0.25,both,down,0,137,137,168,down,1,0.395531499998469,1,2,f,20,r,h,2021_Apr_18_1234,bd-ai,2021.1.4,59.9826050447582
