"response.keys" "response.rt" "is_valid" "participant" "dominant_hand" "age" "gender" "target_x" "target_y" "hand_x" "movement_y"
"306" "right" 0.218 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"307" "left" 0.421 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"308" "left" 0.649 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"309" "left" 0.468 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"310" "up" 0.311 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"311" "left" 0.383 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"312" "up" 0.568 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"313" "right" 0.765 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"314" "up" 0.633 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"315" "down" 0.417 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"316" "left" 0.298 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"317" "left" 0.382 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"318" "up" 0.616 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"319" "up" 0.415 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"320" "down" 0.601 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"321" "left" 0.415 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"322" "right" 0.345 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"323" "up" 0.441 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"324" "down" 0.294 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"325" "right" 0.436 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"326" "right" 0.418 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"327" "right" 0.396 "none" 1 "r" 22 "m" -0.5 -0.25 0.5 0.25
"328" "right" 0.381 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"329" "left" 0.402 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"330" "left" 0.482 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"331" "right" 0.45 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"332" "right" 0.432 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"333" "right" 0.383 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"334" "down" 0.314 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"335" "up" 0.301 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"336" "down" 0.277 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"337" "left" 0.33 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"338" "right" 0.332 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"339" "right" 0.398 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"340" "down" 0.382 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"341" "right" 0.685 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"342" "right" 0.39 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"343" "left" 0.419 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"344" "left" 0.398 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"345" "right" 0.576 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"346" "left" 0.647 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"347" "down" 0.396 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"348" "down" 0.454 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"349" "left" 0.372 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"350" "right" 0.399 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"351" "up" 0.34 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"352" "up" 0.449 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"353" "down" 0.278 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"354" "down" 0.379 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"355" "down" 0.452 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"356" "right" 0.971 "none" 1 "r" 22 "m" -0.5 -0.25 0.5 0.25
"357" "right" 0.702 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"358" "right" 0.436 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"359" "left" 0.364 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"360" "down" 0.277 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"361" "left" 0.531 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"362" "up" 0.449 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"363" "right" 0.435 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"364" "right" 0.383 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"365" "left" 0.471 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"366" "down" 0.434 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"367" "left" 0.65 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"368" "left" 0.343 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"369" "left" 0.502 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"370" "left" 0.68 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"371" "up" 0.467 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"372" "up" 0.551 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"373" "left" 0.348 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"374" "left" 0.699 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"375" "down" 0.646 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"376" "left" 0.796 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"377" "right" 0.498 "none" 1 "r" 22 "m" -0.5 -0.25 0.5 0.25
"378" "down" 0.426 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"379" "left" 0.511 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"380" "left" 0.449 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"381" "left" 1.335 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"382" "down" 0.682 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"383" "right" 0.411 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"384" "left" 0.446 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"385" "down" 0.416 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"386" "down" 0.382 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"387" "right" 0.328 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"388" "left" 0.333 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"389" "left" 0.365 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"390" "up" 0.315 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"391" "down" 0.319 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"392" "up" 0.363 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"393" "down" 0.289 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"394" "up" 0.464 "none" 1 "r" 22 "m" 0.5 0.25 0.5 -0.25
"395" "left" 0.347 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"396" "down" 0.33 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"397" "up" 0.884 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"398" "left" 0.412 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"399" "left" 0.483 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"400" "left" 0.683 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"401" "down" 0.301 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"402" "up" 0.462 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"403" "right" 0.381 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"404" "left" 0.301 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"405" "left" 0.386 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"406" "right" 0.298 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"407" "right" 0.531 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"408" "down" 0.387 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"409" "up" 0.314 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"410" "left" 0.432 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"411" "right" 0.383 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"412" "left" 0.447 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"413" "up" 0.549 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"414" "right" 0.419 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"415" "left" 0.396 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"416" "down" 0.431 "none" 1 "r" 22 "m" 0.5 -0.25 -0.5 0.25
"417" "right" 0.417 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"418" "right" 0.45 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"419" "down" 0.419 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"420" "left" 0.597 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"421" "left" 0.469 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"422" "up" 0.427 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"423" "right" 0.597 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"424" "down" 0.4 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"425" "left" 0.518 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"426" "right" 0.48 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"427" "up" 0.468 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"428" "right" 0.45 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"429" "down" 0.617 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"430" "left" 0.325 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"431" "down" 0.418 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"432" "down" 0.518 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"433" "up" 1.035 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"434" "right" 0.535 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"435" "up" 0.415 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"436" "left" 1.55 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"437" "up" 0.618 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"438" "left" 0.564 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"439" "left" 0.566 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"440" "left" 0.95 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"441" "down" 0.699 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"442" "down" 0.382 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"443" "right" 0.387 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"444" "right" 0.398 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"445" "up" 0.416 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"446" "left" 0.314 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"447" "left" 0.349 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"448" "left" 0.364 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"449" "left" 0.483 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"450" "down" 0.181 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"451" "down" 0.406 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"452" "down" 0.418 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"453" "down" 0.421 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"454" "left" 0.37 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"455" "up" 0.359 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"456" "right" 0.528 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"457" "up" 0.565 "none" 1 "r" 22 "m" 0.5 0.25 -0.5 -0.25
"458" "left" 0.333 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"459" "right" 0.349 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"460" "down" 0.349 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"461" "up" 0.3 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"462" "right" 0.718 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"463" "left" 0.617 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"464" "up" 0.499 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"465" "left" 0.518 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"466" "left" 1.245 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"467" "up" 0.749 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"468" "left" 0.349 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"469" "down" 0.398 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"470" "left" 0.331 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"471" "down" 0.431 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"472" "left" 0.519 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"473" "left" 0.52 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"474" "down" 0.433 "none" 1 "r" 22 "m" 0.5 -0.25 -0.5 0.25
"475" "down" 0.683 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"476" "up" 0.747 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"477" "left" 0.55 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"478" "left" 0.627 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"479" "up" 0.748 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"480" "down" 0.447 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"481" "left" 0.43 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"482" "down" 0.331 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"483" "down" 0.68 "none" 1 "r" 22 "m" 0.5 -0.25 -0.5 0.25
"484" "left" 0.62 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"485" "right" 0.433 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"486" "down" 0.761 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"487" "up" 0.316 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"488" "down" 0.599 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"489" "right" 0.346 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"490" "up" 0.447 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"491" "up" 0.417 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"492" "down" 0.466 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"493" "up" 0.448 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"494" "down" 0.344 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"495" "up" 0.448 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"496" "up" 0.402 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"497" "left" 0.515 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"498" "down" 0.383 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"499" "down" 0.317 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"500" "up" 0.466 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"501" "up" 0.598 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"502" "left" 0.517 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"503" "left" 0.53 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"504" "up" 0.499 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"505" "down" 0.401 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"506" "left" 0.582 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"507" "left" 0.499 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"508" "right" 0.5 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"509" "down" 0.434 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"510" "down" 0.449 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"511" "right" 0.514 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"512" "down" 0.485 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"513" "right" 0.578 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"514" "right" 0.612 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"515" "left" 0.493 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"516" "right" 0.467 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"517" "up" 0.6 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"518" "down" 0.814 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"519" "down" 1.968 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"520" "up" 0.614 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"521" "up" 0.518 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"522" "up" 1.149 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"523" "up" 0.368 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"524" "right" 0.35 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"525" "right" 0.518 "none" 1 "r" 22 "m" -0.5 -0.25 0.5 0.25
"526" "right" 0.795 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"527" "up" 0.319 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"528" "up" 0.349 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"529" "down" 0.429 "none" 1 "r" 22 "m" 0.5 -0.25 -0.5 0.25
"530" "up" 0.516 "none" 1 "r" 22 "m" 0.5 0.25 -0.5 -0.25
"531" "down" 0.465 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"532" "right" 0.327 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"533" "down" 0.496 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"534" "up" 0.449 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"535" "left" 0.335 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"536" "up" 0.634 "none" 1 "r" 22 "m" 0.5 0.25 -0.5 -0.25
"537" "up" 0.582 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"538" "up" 0.403 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"539" "down" 0.643 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"540" "down" 0.343 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"541" "right" 0.449 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"542" "left" 0.566 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"543" "left" 0.281 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"544" "left" 0.264 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"545" "right" 0.398 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"546" "left" 0.444 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"547" "right" 0.416 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"548" "up" 0.28 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"549" "up" 0.316 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"550" "right" 0.468 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"551" "right" 0.317 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"552" "left" 0.549 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"553" "left" 0.496 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"554" "down" 0.299 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"555" "left" 0.283 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"556" "right" 0.439 "none" 1 "r" 22 "m" -0.5 -0.25 0.5 0.25
"557" "up" 0.417 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"558" "left" 0.435 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"559" "down" 0.532 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"560" "right" 0.452 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"561" "right" 0.396 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"562" "left" 0.364 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"563" "up" 0.583 "none" 1 "r" 22 "m" 0.5 0.25 -0.5 -0.25
"564" "down" 0.768 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"565" "right" 0.501 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"566" "up" 0.596 "none" 1 "r" 22 "m" 0.5 0.25 0.5 -0.25
"567" "down" 0.278 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"568" "up" 0.649 "none" 1 "r" 22 "m" 0.5 0.25 0.5 -0.25
"569" "up" 0.299 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"570" "down" 0.599 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"571" "right" 0.368 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"572" "left" 0.465 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"573" "left" 0.338 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"574" "left" 0.319 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"575" "down" 0.552 "none" 1 "r" 22 "m" 0.5 -0.25 -0.5 0.25
"576" "left" 0.552 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"577" "right" 0.368 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"578" "down" 1.014 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"579" "down" 0.413 "none" 1 "r" 22 "m" 0.5 -0.25 -0.5 0.25
"580" "down" 0.847 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"581" "left" 0.565 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"582" "right" 0.336 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"583" "down" 0.527 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"584" "up" 0.318 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"585" "down" 0.567 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"586" "up" 0.463 "none" 1 "r" 22 "m" 0.5 0.25 0.5 -0.25
"587" "left" 0.418 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"588" "down" 0.628 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"589" "up" 0.434 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"590" "left" 0.517 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"591" "down" 0.561 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"592" "down" 0.514 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"593" "up" 0.394 "none" 1 "r" 22 "m" 0.5 0.25 0.5 -0.25
"594" "down" 0.698 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"595" "left" 0.964 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"596" "left" 0.485 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"597" "left" 0.465 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"598" "right" 0.484 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"599" "down" 0.475 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"600" "up" 0.603 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"601" "left" 0.538 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"602" "left" 0.467 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"603" "right" 0.448 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"604" "left" 2 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"605" "left" 0.332 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"606" "down" 0.795 "none" 1 "r" 22 "m" 0.5 -0.25 -0.5 0.25
"607" "left" 0.499 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"608" "down" 0.581 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"609" "right" 0.247 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"610" "up" 0.533 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"611" "up" 0.614 "none" 1 "r" 22 "m" 0.5 0.25 0.5 -0.25
"612" "up" 0.434 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"613" "left" 0.516 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"614" "down" 0.297 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"615" "up" 0.485 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
